scorer,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000
bodyparts,Nose,Nose,Nose,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Tailbase,Tailbase,Tailbase,Implant,Implant,Implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
37,350.76702880859375,626.1914672851562,1.0,369.4111328125,608.393310546875,1.0,350.0356750488281,601.64892578125,1.0,383.9172668457031,532.4036865234375,1.0,355.28594970703125,614.3321533203125,1.0
38,352.746337890625,628.79638671875,1.0,370.12725830078125,610.5189208984375,1.0,349.8787536621094,604.8247680664062,1.0,382.1620178222656,534.6749267578125,1.0,355.9125061035156,617.5521850585938,1.0
39,354.2236328125,633.30712890625,1.0,370.24713134765625,612.0872802734375,1.0,349.255615234375,610.0779418945312,1.0,379.13690185546875,536.1788940429688,0.9999998807907104,356.9355163574219,621.1160888671875,1.0
40,355.3268127441406,637.1378173828125,1.0,370.3939208984375,613.8136596679688,1.0,349.4091491699219,613.0942993164062,0.9999998807907104,377.44189453125,538.1549072265625,0.9999997615814209,357.8290100097656,624.1869506835938,1.0
41,356.96929931640625,638.9034423828125,1.0,370.46875,616.2826538085938,1.0,349.56097412109375,615.7271728515625,0.9999998807907104,375.59735107421875,540.673828125,1.0,358.8417053222656,627.4594116210938,1.0
42,357.0522766113281,641.2970581054688,1.0,371.0472717285156,620.1005859375,1.0,349.85260009765625,618.7603759765625,1.0,374.5876159667969,543.9287719726562,1.0,359.0298767089844,630.433349609375,1.0
43,358.520751953125,648.4744262695312,1.0,369.79791259765625,625.9031982421875,1.0,349.86517333984375,626.6011962890625,1.0,375.677001953125,550.9240112304688,1.0,359.7200622558594,637.3558349609375,1.0
44,358.4456787109375,651.4955444335938,0.9999998807907104,369.73291015625,629.7963256835938,1.0,349.93731689453125,629.6611328125,0.9999998807907104,376.27703857421875,553.7373657226562,0.9999997615814209,359.1580505371094,641.3142700195312,1.0
45,357.0655212402344,654.3532104492188,1.0,369.5292053222656,634.3450317382812,0.9999997615814209,350.4686279296875,634.2784423828125,0.9999998807907104,375.9794006347656,557.753173828125,0.9999998807907104,358.7784118652344,645.36962890625,1.0
46,357.05499267578125,655.4766845703125,1.0,370.50885009765625,637.4807739257812,0.9999998807907104,351.7285461425781,635.3439331054688,1.0,374.95452880859375,560.17236328125,1.0,359.1972961425781,647.1244506835938,1.0
47,356.038818359375,657.5926513671875,1.0,370.78631591796875,638.2753295898438,1.0,351.0146179199219,635.3201904296875,1.0,372.6930847167969,561.98388671875,1.0,358.39471435546875,648.29541015625,1.0
48,355.3050842285156,659.4392700195312,1.0,370.2579650878906,639.7527465820312,1.0,350.48138427734375,635.9762573242188,1.0,370.9663391113281,563.4061279296875,1.0,358.2471618652344,649.2445068359375,1.0
49,354.1459045410156,660.998046875,1.0,370.04443359375,641.0999145507812,1.0,349.60821533203125,636.7534790039062,1.0,368.475830078125,564.8357543945312,1.0,357.1073303222656,649.197509765625,1.0
50,354.1427307128906,660.9990234375,1.0,370.04925537109375,641.0921020507812,1.0,349.6070251464844,636.7420043945312,1.0,368.47998046875,564.8477172851562,1.0,357.0963134765625,649.1882934570312,1.0
51,353.10162353515625,662.457763671875,1.0,369.7315979003906,640.8221435546875,1.0,348.4140319824219,636.5279541015625,1.0,367.41204833984375,565.8482055664062,1.0,355.8733825683594,648.78466796875,1.0
52,352.7198181152344,663.105224609375,1.0,369.4923400878906,640.7864379882812,1.0,347.8153991699219,637.0335693359375,1.0,366.8389587402344,565.9420776367188,1.0,355.3255615234375,649.5194702148438,1.0
53,352.0931701660156,663.5852661132812,1.0,369.1806640625,641.1930541992188,1.0,347.0731506347656,637.7974243164062,1.0,366.4676513671875,565.7059936523438,1.0,354.5371398925781,650.2161865234375,1.0
54,351.0267333984375,663.032470703125,1.0,368.1582946777344,641.7428588867188,1.0,346.4512634277344,637.2540893554688,1.0,366.3388671875,565.5291137695312,1.0,353.3724060058594,650.09619140625,1.0
55,350.7085876464844,662.5799560546875,1.0,367.9044494628906,641.4567260742188,1.0,346.6444091796875,636.5119018554688,1.0,366.1065368652344,565.5667724609375,1.0,353.1886901855469,649.14697265625,1.0
56,349.3408203125,663.766845703125,0.9999998807907104,367.1841125488281,642.1563720703125,1.0,345.8089904785156,636.021484375,1.0,366.1280517578125,566.0472412109375,1.0,352.0611267089844,648.8373413085938,1.0
57,347.64910888671875,663.8406982421875,1.0,365.85430908203125,643.5277099609375,1.0,345.8570251464844,636.2852783203125,1.0,366.3614501953125,567.1456909179688,1.0,351.0181579589844,648.9117431640625,1.0
58,347.439208984375,664.8568115234375,0.9999998807907104,365.3636779785156,644.6594848632812,1.0,346.40863037109375,637.416015625,0.9999998807907104,366.2518615722656,568.2429809570312,0.9999998807907104,351.26220703125,649.7383422851562,0.9999998807907104
59,345.7388000488281,664.6495971679688,0.9999998807907104,364.1059875488281,646.0589599609375,1.0,345.6286926269531,638.1154174804688,0.9999998807907104,366.2091979980469,569.4003295898438,0.9999998807907104,351.0946350097656,649.828369140625,0.9999998807907104
60,345.42620849609375,664.9517822265625,0.9999997615814209,363.90234375,646.1994018554688,0.9999998807907104,345.4816589355469,638.6312255859375,0.9999998807907104,366.0827331542969,571.30419921875,0.9999998807907104,351.3132019042969,650.262939453125,0.9999998807907104
61,345.5220031738281,666.0849609375,0.9999994039535522,364.5975646972656,647.1658325195312,0.9999998807907104,344.7581481933594,639.1265258789062,0.9999998807907104,365.8768615722656,572.474365234375,0.9999998807907104,351.6689147949219,651.4254760742188,0.9999998807907104
