scorer,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000
bodyparts,Nose,Nose,Nose,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Tailbase,Tailbase,Tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
30,570.4110107421875,914.3041381835938,1.0,579.994140625,949.7626342773438,0.9999998807907104,599.7561645507812,932.63330078125,0.9999998807907104,680.1380004882812,982.136474609375,0.9999997615814209
31,580.1010131835938,909.7034301757812,1.0,582.81396484375,945.8219604492188,1.0,604.5825805664062,931.5687255859375,0.9999997615814209,681.2858276367188,981.17041015625,0.9999996423721313
32,581.1936645507812,907.7398681640625,1.0,585.9805908203125,943.4334716796875,0.9999990463256836,607.6735229492188,930.7139892578125,0.9999998807907104,681.6957397460938,981.638671875,0.9999994039535522
33,583.0579833984375,906.5397338867188,0.9999998807907104,588.959716796875,942.2329711914062,0.9999986886978149,610.0965576171875,928.533203125,1.0,679.9948120117188,982.3397827148438,0.9999996423721313
34,590.65673828125,905.1962890625,0.9999992847442627,591.4153442382812,939.015625,0.9999979734420776,614.41015625,927.980712890625,1.0,681.3843994140625,985.0411376953125,0.9999986886978149
35,602.141357421875,903.5031127929688,0.9999998807907104,595.870361328125,937.572265625,0.9999996423721313,619.9541625976562,926.68701171875,0.9999995231628418,683.947509765625,986.1380004882812,0.9999911785125732
36,616.2992553710938,899.039794921875,1.0,601.0838623046875,934.9362182617188,0.9999991655349731,626.8267211914062,929.3192749023438,1.0,684.0050659179688,987.955810546875,0.9999895095825195
37,624.2462768554688,896.4048461914062,0.9999996423721313,605.8638916015625,927.7966918945312,0.9999991655349731,632.8723754882812,928.728515625,1.0,683.9480590820312,987.59912109375,0.9999823570251465
38,631.7164916992188,888.2454223632812,0.9999998807907104,609.6599731445312,918.6817626953125,0.9999998807907104,635.7011108398438,920.57958984375,0.9999990463256836,683.1962280273438,988.4526977539062,0.9999914169311523
39,635.2615356445312,881.2520141601562,0.9999998807907104,614.3966064453125,909.5941772460938,0.9999997615814209,639.978271484375,912.0361938476562,1.0,680.1074829101562,987.8268432617188,0.9999985694885254
