Start,Stop,Length,Type
9909,9994,85,FP
1628,1711,83,FP
7248,7326,78,FP
11907,11954,47,FP
11550,11570,20,FP
16329,16341,12,FP
16375,16383,8,FP
14963,14969,6,FP
16153,16159,6,FP
14638,14643,5,FP
17274,17279,5,FP
16824,16828,4,FP
14944,14947,3,FP
11120,11122,2,FP
14526,14527,1,FP
17539,17540,1,FP
19490,19491,1,FP
18631,18632,1,FN
15336,15336,0,FP
16680,16680,0,FP
19541,19541,0,FP
13001,13001,0,FN
13140,13140,0,FN
