Start,Stop,Length,Type
7497,7574,77,FN
8666,8726,60,FN
19490,19541,51,FP
13913,13931,18,FN
16375,16387,12,FP
7315,7326,11,FP
12240,12250,10,FN
17628,17637,9,FP
10360,10368,8,FN
14027,14034,7,FN
19133,19138,5,FP
13136,13139,3,FP
14444,14447,3,FN
15486,15489,3,FN
1628,1630,2,FP
13538,13540,2,FP
17209,17211,2,FP
11547,11549,2,FN
11635,11636,1,FP
11186,11186,0,FP
13275,13275,0,FP
10441,10441,0,FN
15908,15908,0,FN
